county,city,primary,cross,street,start_date,start_date_2,end_date,citations,Latitude,Longitude,City,State,Country,Zip,Address components,Relevance
Collin,Plano,Park Blvd,Dallas Pkwy SB,Park Blvd & Dallas Pkwy SB,10/1/14,, ,"9,813",33.02775,-96.829658,Plano,TX,Collin County,75093,,
Collin,Plano,SH 121 SR NB,Custer Rd,SH 121 SR NB & Custer Rd,6/4/07,, ,"4,172",33.210878,-96.727385,Mc Kinney,TX,Collin County,75070,,
Collin,Plano,SH 121 SR NB,Preston Rd/SH 289,SH 121 SR NB & Preston Rd/SH 289,12/1/10,, ,"3,382",33.096286,-96.805943,Plano,TX,,,,
Collin,Plano,SH 289/Preston Rd,W. Park Blvd,SH 289/Preston Rd & W. Park Blvd,12/1/10,, ,"11,790",33.311403,-96.781151,Celina,TX,Collin County,75009,,
Collin,Plano,SH 289/Preston Rd,W. Plano Pkwy,SH 289/Preston Rd & W. Plano Pkwy,6/4/07,, ,"5,813",33.311403,-96.781151,Celina,TX,Collin County,75009,,
Collin,Plano,SH 289/Preston Rd,W. Spring Creek Pkwy,SH 289/Preston Rd & W. Spring Creek Pkwy,6/4/07,, ,"8,022",33.311403,-96.781151,Celina,TX,Collin County,75009,,
Collin,Plano,W. 15 St,Independence Pkwy,W. 15 St & Independence Pkwy,3/1/06,, ,"1,040",33.01919,-96.749844,Plano,TX,Collin County,75075,,
Collin,Plano,W. Parker Rd,Dallas Pkwy SR SB,W. Parker Rd & Dallas Pkwy SR SB,1/31/07,, ,"2,886",33.04513,-96.830055,Plano,TX,Collin County,75093,,
Collin,Plano,W. Plano Pkwy,Dallas Pkwy SR SB,W. Plano Pkwy & Dallas Pkwy SR SB,1/31/07,, ,"6,429","33.016446,",96.82968,Plano,TX,,,,
Collin,Plano,W. Park Blvd,Ventura Dr,W. Park Blvd & Ventura Dr,3/1/06,, ,"2,274",33.031692,-96.798913,Plano,TX,Collin County,75093,,
Collin,Plano,W. Spring Creek Pkwy,Custer Rd,W. Spring Creek Pkwy & Custer Rd,3/1/06,, ,"2,069",33.059067,-96.733121,Plano,TX,Collin County,75023,,
Collin,Plano,W. Spring Creek Pkwy,Independence Pkwy,W. Spring Creek Pkwy & Independence Pwky,8/24/10,,,"1,938",33.057659,-96.7506,Plano,TX,Collin County,75023,,
